user_id,first_session_day,last_session_day,total_sessions,total_user_energy,distinct_stations_used,first_session_date,last_session_date,active_span_days
10293,1/12/2017,9/7/2019,29,116.595352,5,2017-01-12,2019-09-07,968
1029581,10/10/2017,11/12/2017,5,34.666,4,2017-10-10,2017-11-12,33
1029651,10/17/2018,9/30/2018,4,19.599,2,2018-10-17,2018-09-30,-17
103073,6/28/2019,6/28/2019,1,4.626,1,2019-06-28,2019-06-28,0
1031331,7/5/2019,7/5/2019,1,13.017,1,2019-07-05,2019-07-05,0
1032001,12/2/2017,2/27/2018,2,12.687,2,2017-12-02,2018-02-27,87
1032031,9/1/2019,9/1/2019,1,21.311,1,2019-09-01,2019-09-01,0
1034101,6/16/2019,9/16/2017,2,16.839,1,2019-06-16,2017-09-16,-638
1034351,2/7/2018,2/7/2018,1,6.456,1,2018-02-07,2018-02-07,0
1034421,11/2/2019,9/16/2017,2,1.738,1,2019-11-02,2017-09-16,-777
1035811,2/17/2020,2/17/2020,1,16.63,1,2020-02-17,2020-02-17,0
1037501,6/9/2018,6/9/2018,1,13.205,1,2018-06-09,2018-06-09,0
1038641,7/1/2019,7/1/2019,1,3.472,1,2019-07-01,2019-07-01,0
103873,1/20/2019,9/28/2019,19,71.693328,11,2019-01-20,2019-09-28,251
10393,1/18/2017,5/11/2018,2,15.742,2,2017-01-18,2018-05-11,478
1039521,7/12/2020,9/12/2020,2,28.844,1,2020-07-12,2020-09-12,62
1039681,5/22/2019,5/28/2019,2,4.675,1,2019-05-22,2019-05-28,6
1039831,1/26/2018,7/9/2018,50,379.693,8,2018-01-26,2018-07-09,164
1040311,5/27/2018,9/7/2019,5,32.211,5,2018-05-27,2019-09-07,468
1041261,11/13/2017,11/13/2017,1,8.0,1,2017-11-13,2017-11-13,0
1041321,12/16/2017,12/16/2017,1,6.364,1,2017-12-16,2017-12-16,0
1041911,10/28/2017,10/28/2017,1,3.688,1,2017-10-28,2017-10-28,0
1042061,6/16/2018,6/16/2018,1,8.57,1,2018-06-16,2018-06-16,0
1042661,5/13/2019,5/13/2019,1,14.715,1,2019-05-13,2019-05-13,0
104333,3/18/2018,3/18/2018,1,5.844,1,2018-03-18,2018-03-18,0
1043501,4/2/2019,7/3/2018,5,26.041,5,2019-04-02,2018-07-03,-273
1043561,2/13/2019,2/14/2019,2,39.669,2,2019-02-13,2019-02-14,1
1043591,1/16/2020,9/9/2019,56,827.277,11,2020-01-16,2019-09-09,-129
1043701,1/15/2019,6/24/2019,37,804.659,6,2019-01-15,2019-06-24,160
1043781,10/14/2017,4/13/2018,3,13.106,2,2017-10-14,2018-04-13,181
1043891,3/21/2018,3/21/2018,1,7.783,1,2018-03-21,2018-03-21,0
1043991,1/28/2020,6/6/2019,8,80.258,6,2020-01-28,2019-06-06,-236
1044851,1/18/2018,9/21/2018,35,222.433,6,2018-01-18,2018-09-21,246
1045071,12/9/2019,8/2/2020,3,20.663,2,2019-12-09,2020-08-02,237
1045341,10/25/2018,9/19/2020,3,41.477000000000004,3,2018-10-25,2020-09-19,695
1045561,10/13/2017,9/7/2018,14,102.033,9,2017-10-13,2018-09-07,329
1045611,10/29/2017,10/29/2017,1,22.635,1,2017-10-29,2017-10-29,0
1046281,12/26/2018,12/26/2018,1,5.359,1,2018-12-26,2018-12-26,0
1046981,3/18/2018,5/12/2018,2,13.741,2,2018-03-18,2018-05-12,55
104811,10/6/2016,5/9/2017,4,12.364608,4,2016-10-06,2017-05-09,215
1048201,1/30/2018,8/25/2018,14,328.49,4,2018-01-30,2018-08-25,207
1048271,1/21/2018,5/6/2018,5,12.671,4,2018-01-21,2018-05-06,105
1048501,11/19/2019,11/19/2019,1,11.294,1,2019-11-19,2019-11-19,0
1048961,9/30/2017,9/30/2017,1,32.75,1,2017-09-30,2017-09-30,0
104983,11/15/2020,11/15/2020,1,9.826,1,2020-11-15,2020-11-15,0
1050441,7/19/2018,7/19/2018,1,4.039,1,2018-07-19,2018-07-19,0
105053,3/10/2017,8/23/2016,3,50.28985,3,2017-03-10,2016-08-23,-199
1051861,1/1/2018,9/28/2017,109,836.891,11,2018-01-01,2017-09-28,-95
1052531,3/1/2018,3/1/2018,1,12.41,1,2018-03-01,2018-03-01,0
1052671,12/13/2019,6/29/2018,16,211.945,4,2019-12-13,2018-06-29,-532
105363,1/14/2017,9/14/2016,2,11.0001,2,2017-01-14,2016-09-14,-122
1054021,11/16/2019,11/16/2019,1,9.751,1,2019-11-16,2019-11-16,0
1054491,1/11/2020,1/11/2020,1,10.784,1,2020-01-11,2020-01-11,0
105613,2/8/2018,2/8/2018,1,9.509,1,2018-02-08,2018-02-08,0
1056541,12/21/2018,9/29/2018,6,42.88,4,2018-12-21,2018-09-29,-83
1057011,1/28/2019,4/9/2019,33,162.81,5,2019-01-28,2019-04-09,71
1057261,2/24/2019,2/24/2019,1,5.169,1,2019-02-24,2019-02-24,0
1057481,3/7/2020,7/1/2019,2,10.15,2,2020-03-07,2019-07-01,-250
105793,7/20/2017,7/20/2017,1,2.691,1,2017-07-20,2017-07-20,0
1057991,9/28/2017,9/28/2017,1,10.235,1,2017-09-28,2017-09-28,0
1058681,3/4/2018,9/23/2017,3,9.525,2,2018-03-04,2017-09-23,-162
1058891,11/27/2017,12/8/2017,2,42.024,1,2017-11-27,2017-12-08,11
1059201,1/12/2018,6/22/2018,4,37.995000000000005,3,2018-01-12,2018-06-22,161
105973,2/27/2018,2/27/2018,1,5.443,1,2018-02-27,2018-02-27,0
1059881,1/8/2019,1/8/2019,1,2.771,1,2019-01-08,2019-01-08,0
1059961,1/8/2019,11/22/2017,2,27.503,2,2019-01-08,2017-11-22,-412
1060781,4/24/2018,4/24/2018,1,0.026,1,2018-04-24,2018-04-24,0
1061491,1/12/2020,8/23/2018,7,50.902,4,2020-01-12,2018-08-23,-507
1062591,12/29/2017,12/29/2017,1,5.482,1,2017-12-29,2017-12-29,0
1063551,9/22/2017,9/22/2017,1,6.964,1,2017-09-22,2017-09-22,0
106403,10/30/2016,9/2/2018,6,31.192,4,2016-10-30,2018-09-02,672
1064141,9/8/2018,9/8/2018,1,13.161,1,2018-09-08,2018-09-08,0
106453,10/8/2016,10/8/2016,1,7.482557,1,2016-10-08,2016-10-08,0
1064711,1/19/2018,8/5/2018,9,180.83100000000002,3,2018-01-19,2018-08-05,198
1064991,11/4/2018,11/4/2018,1,2.823,1,2018-11-04,2018-11-04,0
106513,1/30/2017,3/5/2017,3,9.658999999999999,2,2017-01-30,2017-03-05,34
106553,1/10/2018,9/16/2017,14,64.482,5,2018-01-10,2017-09-16,-116
1066401,3/17/2019,3/17/2019,1,4.894,1,2019-03-17,2019-03-17,0
1066971,12/17/2019,8/5/2018,3,29.278,3,2019-12-17,2018-08-05,-499
1067841,10/27/2017,9/29/2017,7,94.875,3,2017-10-27,2017-09-29,-28
10693,2/19/2018,2/19/2018,1,8.93,1,2018-02-19,2018-02-19,0
1069311,1/11/2018,9/26/2018,126,1121.983,6,2018-01-11,2018-09-26,258
106933,1/12/2019,2/23/2019,4,14.706,2,2019-01-12,2019-02-23,42
1069811,1/10/2020,12/2/2018,3,34.188,2,2020-01-10,2018-12-02,-404
107,7/23/2017,7/23/2017,1,9.713,1,2017-07-23,2017-07-23,0
1070031,10/24/2019,2/18/2020,3,22.433,2,2019-10-24,2020-02-18,117
1070121,1/13/2018,9/28/2017,55,185.525,6,2018-01-13,2017-09-28,-107
107013,1/23/2017,9/12/2016,16,90.736527,4,2017-01-23,2016-09-12,-133
1071161,4/27/2019,4/27/2019,1,5.156,1,2019-04-27,2019-04-27,0
1071601,5/19/2018,7/11/2018,3,12.684000000000001,3,2018-05-19,2018-07-11,53
107173,9/8/2016,9/8/2016,1,3.694788,1,2016-09-08,2016-09-08,0
1071731,9/24/2017,9/24/2017,1,5.749,1,2017-09-24,2017-09-24,0
1072041,1/22/2019,1/22/2019,1,6.965,1,2019-01-22,2019-01-22,0
107223,3/6/2019,5/15/2019,2,11.451,2,2019-03-06,2019-05-15,70
1072861,8/21/2018,8/21/2018,1,8.227,1,2018-08-21,2018-08-21,0
107303,12/17/2016,12/17/2016,1,10.44,1,2016-12-17,2016-12-17,0
1073031,9/24/2017,9/24/2017,1,2.682,1,2017-09-24,2017-09-24,0
107413,12/15/2016,8/11/2017,2,9.634,2,2016-12-15,2017-08-11,239
1074431,12/3/2017,12/3/2017,1,6.568,1,2017-12-03,2017-12-03,0
107453,10/2/2016,10/2/2016,1,5.780495,1,2016-10-02,2016-10-02,0
1074751,2/24/2018,2/24/2018,1,9.821,1,2018-02-24,2018-02-24,0
1074861,1/26/2018,9/26/2017,2,6.632,2,2018-01-26,2017-09-26,-122
1074901,2/17/2019,2/17/2019,1,5.913,1,2019-02-17,2019-02-17,0
1074991,5/28/2020,6/16/2020,2,17.852,2,2020-05-28,2020-06-16,19
107503,9/10/2016,9/10/2016,1,8.736198,1,2016-09-10,2016-09-10,0
1075071,1/17/2019,9/15/2019,9,57.238,3,2019-01-17,2019-09-15,241
107523,11/18/2016,11/18/2016,1,5.993,1,2016-11-18,2016-11-18,0
1075891,11/27/2019,11/27/2019,1,6.868,1,2019-11-27,2019-11-27,0
1076051,6/7/2018,6/7/2018,1,9.094,1,2018-06-07,2018-06-07,0
1077471,10/20/2018,8/23/2019,3,11.553,3,2018-10-20,2019-08-23,307
1077491,3/8/2020,3/8/2020,1,6.141,1,2020-03-08,2020-03-08,0
1077581,9/25/2017,9/25/2017,1,10.059,1,2017-09-25,2017-09-25,0
1077661,8/8/2019,8/8/2019,1,0.903,1,2019-08-08,2019-08-08,0
1077671,5/12/2018,5/12/2018,1,7.784,1,2018-05-12,2018-05-12,0
1077791,1/5/2019,9/28/2017,9,8.206,3,2019-01-05,2017-09-28,-464
1078691,11/21/2019,9/7/2018,6,90.045,3,2019-11-21,2018-09-07,-440
1078711,12/2/2018,7/22/2018,2,3.086,2,2018-12-02,2018-07-22,-133
1079161,12/4/2017,9/28/2017,6,33.193,2,2017-12-04,2017-09-28,-67
1079191,7/9/2018,7/9/2018,1,17.774,1,2018-07-09,2018-07-09,0
1079501,10/31/2017,9/26/2017,2,29.994,1,2017-10-31,2017-09-26,-35
10803,12/22/2018,12/22/2018,1,3.65,1,2018-12-22,2018-12-22,0
10813,7/13/2019,7/13/2019,1,2.122,1,2019-07-13,2019-07-13,0
1081741,10/2/2019,8/31/2019,4,17.512999999999998,2,2019-10-02,2019-08-31,-32
1082021,9/27/2017,9/27/2017,1,4.739,1,2017-09-27,2017-09-27,0
1082381,11/18/2017,11/18/2017,1,8.667,1,2017-11-18,2017-11-18,0
1082911,7/18/2018,9/16/2018,2,19.242,2,2018-07-18,2018-09-16,60
10833,2/26/2020,2/26/2020,1,6.928,1,2020-02-26,2020-02-26,0
1083341,9/26/2017,9/26/2017,1,3.264,1,2017-09-26,2017-09-26,0
1084161,1/19/2019,9/28/2018,22,192.422,10,2019-01-19,2018-09-28,-113
1084651,3/31/2018,3/31/2018,1,15.0,1,2018-03-31,2018-03-31,0
1084831,12/30/2018,12/30/2018,1,10.708,1,2018-12-30,2018-12-30,0
1085051,1/17/2019,2/13/2019,7,26.116,4,2019-01-17,2019-02-13,27
1085621,2/6/2018,2/6/2018,1,2.818,1,2018-02-06,2018-02-06,0
1085851,4/29/2019,5/1/2019,2,21.301000000000002,1,2019-04-29,2019-05-01,2
108693,3/13/2017,4/3/2017,2,26.15,1,2017-03-13,2017-04-03,21
108713,3/6/2018,4/6/2018,3,16.418,1,2018-03-06,2018-04-06,31
1088671,1/11/2020,9/8/2018,72,644.788,13,2020-01-11,2018-09-08,-490
1089011,11/25/2017,11/25/2017,1,3.397,1,2017-11-25,2017-11-25,0
1089381,2/11/2020,9/29/2017,3,26.925,3,2020-02-11,2017-09-29,-865
1089441,1/11/2019,8/19/2019,14,31.632,5,2019-01-11,2019-08-19,220
1089761,1/30/2019,7/24/2019,8,45.869,5,2019-01-30,2019-07-24,175
1090291,10/2/2017,9/30/2017,8,226.36100000000002,2,2017-10-02,2017-09-30,-2
1090441,11/5/2017,7/21/2019,2,10.31,2,2017-11-05,2019-07-21,623
1090641,3/19/2019,3/19/2019,1,8.891,1,2019-03-19,2019-03-19,0
1090781,11/10/2017,9/24/2018,17,284.772,3,2017-11-10,2018-09-24,318
1090851,1/26/2020,2/22/2019,2,6.57,2,2020-01-26,2019-02-22,-338
1091701,1/11/2019,2/16/2018,10,180.338,5,2019-01-11,2018-02-16,-329
1091851,5/1/2019,5/1/2019,1,0.808,1,2019-05-01,2019-05-01,0
1092381,11/22/2019,11/22/2019,1,1.016,1,2019-11-22,2019-11-22,0
1092891,10/17/2017,10/17/2017,2,10.342,2,2017-10-17,2017-10-17,0
1092931,10/24/2018,10/24/2018,1,39.488,1,2018-10-24,2018-10-24,0
109373,11/18/2019,6/21/2018,2,27.886000000000003,2,2019-11-18,2018-06-21,-515
1093821,5/29/2019,8/25/2019,2,10.427,1,2019-05-29,2019-08-25,88
1094951,5/16/2018,5/16/2018,1,9.172,1,2018-05-16,2018-05-16,0
1095451,3/20/2019,3/20/2019,1,7.898,1,2019-03-20,2019-03-20,0
1096851,8/4/2018,8/4/2018,1,4.855,1,2018-08-04,2018-08-04,0
1096861,2/5/2019,2/5/2019,1,13.733,1,2019-02-05,2019-02-05,0
1096871,1/6/2018,1/6/2018,1,12.634,1,2018-01-06,2018-01-06,0
1097501,2/4/2020,2/4/2020,1,2.932,1,2020-02-04,2020-02-04,0
1097631,9/29/2017,9/30/2017,2,9.023,1,2017-09-29,2017-09-30,1
1097831,11/26/2019,11/26/2019,1,9.191,1,2019-11-26,2019-11-26,0
1098151,6/16/2019,7/25/2018,2,19.857,2,2019-06-16,2018-07-25,-326
109823,1/16/2020,9/5/2019,36,451.806483,7,2020-01-16,2019-09-05,-133
1099001,1/4/2019,3/1/2019,2,14.733,1,2019-01-04,2019-03-01,56
1099021,10/2/2017,10/2/2017,1,14.028,1,2017-10-02,2017-10-02,0
1099481,11/19/2017,12/3/2019,2,11.536999999999999,2,2017-11-19,2019-12-03,744
1100041,7/16/2019,7/16/2019,1,4.54,1,2019-07-16,2019-07-16,0
1101701,9/8/2019,9/8/2019,1,0.775,1,2019-09-08,2019-09-08,0
1102081,12/23/2017,12/23/2017,1,3.117,1,2017-12-23,2017-12-23,0
110303,9/11/2019,9/11/2019,1,0.074,1,2019-09-11,2019-09-11,0
1103381,10/1/2017,10/10/2017,2,4.899,1,2017-10-01,2017-10-10,9
1104831,10/16/2020,9/25/2020,11,429.346,3,2020-10-16,2020-09-25,-21
1105351,2/19/2020,2/19/2020,1,0.458,1,2020-02-19,2020-02-19,0
1105851,1/30/2020,9/9/2020,123,1371.899,13,2020-01-30,2020-09-09,223
1105931,10/15/2017,10/15/2017,1,11.696,1,2017-10-15,2017-10-15,0
1106281,7/19/2018,7/19/2018,1,6.457,1,2018-07-19,2018-07-19,0
1106391,1/13/2019,9/22/2018,21,135.988,10,2019-01-13,2018-09-22,-113
1106551,1/8/2019,4/26/2019,6,48.051,5,2019-01-08,2019-04-26,108
110663,1/5/2017,3/20/2019,5,31.147,4,2017-01-05,2019-03-20,804
1107831,3/22/2018,3/22/2018,1,9.785,1,2018-03-22,2018-03-22,0
1108881,1/13/2018,3/31/2018,4,31.135,2,2018-01-13,2018-03-31,77
110983,1/1/2018,1/1/2018,1,14.536999999999999,1,2018-01-01,2018-01-01,0
1110041,3/2/2018,3/2/2018,1,6.583,1,2018-03-02,2018-03-02,0
1110761,3/17/2019,3/25/2019,2,27.680999999999997,1,2019-03-17,2019-03-25,8
1111071,9/25/2020,9/25/2020,1,6.725,1,2020-09-25,2020-09-25,0
1111371,10/5/2017,10/5/2017,1,0.631,1,2017-10-05,2017-10-05,0
1111761,1/27/2018,6/15/2019,6,28.53,5,2018-01-27,2019-06-15,504
1112431,9/3/2020,9/6/2019,2,22.227,2,2020-09-03,2019-09-06,-363
1112441,8/7/2019,8/7/2019,1,4.68,1,2019-08-07,2019-08-07,0
1112951,1/20/2018,12/6/2017,4,8.621,3,2018-01-20,2017-12-06,-45
1113321,10/15/2018,7/15/2018,5,31.407999999999998,5,2018-10-15,2018-07-15,-92
111343,1/13/2018,1/13/2018,1,2.97,1,2018-01-13,2018-01-13,0
1113931,6/7/2018,6/7/2018,1,5.376,1,2018-06-07,2018-06-07,0
1114471,1/3/2019,1/3/2019,1,8.731,1,2019-01-03,2019-01-03,0
1114891,7/14/2018,7/14/2018,2,7.595,2,2018-07-14,2018-07-14,0
1115321,10/19/2017,10/21/2017,2,21.428,2,2017-10-19,2017-10-21,2
1115891,11/1/2019,12/6/2019,4,25.431,3,2019-11-01,2019-12-06,35
111683,3/14/2017,8/4/2018,3,19.005000000000003,1,2017-03-14,2018-08-04,508
1117391,4/1/2018,4/1/2018,1,12.731,1,2018-04-01,2018-04-01,0
1118451,3/23/2018,5/20/2018,2,10.974,1,2018-03-23,2018-05-20,58
111863,11/20/2016,11/20/2016,1,4.14,1,2016-11-20,2016-11-20,0
111923,1/5/2019,9/28/2019,8,49.845,3,2019-01-05,2019-09-28,266
1119761,6/4/2020,7/9/2020,4,25.503999999999998,3,2020-06-04,2020-07-09,35
1120371,2/4/2018,2/4/2018,1,6.589,1,2018-02-04,2018-02-04,0
112043,11/3/2018,11/3/2018,1,4.218,1,2018-11-03,2018-11-03,0
1120681,11/6/2017,7/8/2019,2,7.191,2,2017-11-06,2019-07-08,609
1121651,1/11/2018,5/3/2018,6,46.107,6,2018-01-11,2018-05-03,112
112223,1/29/2019,9/4/2018,11,68.428,7,2019-01-29,2018-09-04,-147
1122261,9/14/2018,9/14/2018,1,9.076,1,2018-09-14,2018-09-14,0
1122381,12/3/2017,12/3/2017,1,17.63,1,2017-12-03,2017-12-03,0
1122801,10/12/2020,9/8/2020,91,1834.913,4,2020-10-12,2020-09-08,-34
1123261,1/11/2018,9/6/2018,95,922.197,15,2018-01-11,2018-09-06,238
1123331,10/12/2017,10/12/2017,1,14.703,1,2017-10-12,2017-10-12,0
1123621,10/29/2017,8/5/2018,2,25.097,1,2017-10-29,2018-08-05,280
112393,9/17/2016,9/17/2016,1,4.208723,1,2016-09-17,2016-09-17,0
1125261,1/13/2018,1/13/2018,1,10.595,1,2018-01-13,2018-01-13,0
1125911,12/10/2017,12/10/2017,1,1.441,1,2017-12-10,2017-12-10,0
1126631,11/25/2017,3/25/2018,2,19.084,1,2017-11-25,2018-03-25,120
112673,6/19/2017,6/19/2017,1,9.525,1,2017-06-19,2017-06-19,0
112683,1/10/2017,9/8/2017,43,454.46672,8,2017-01-10,2017-09-08,241
11273,1/22/2017,9/4/2016,16,37.372104,2,2017-01-22,2016-09-04,-140
1127331,11/3/2017,11/7/2017,2,24.377000000000002,2,2017-11-03,2017-11-07,4
1129401,12/8/2018,12/8/2018,1,2.898,1,2018-12-08,2018-12-08,0
1129471,10/23/2017,6/10/2019,3,18.918,1,2017-10-23,2019-06-10,595
1129641,2/13/2018,2/13/2018,1,3.386,1,2018-02-13,2018-02-13,0
1129791,10/21/2017,9/11/2019,18,44.879,6,2017-10-21,2019-09-11,690
1129921,10/19/2019,6/30/2018,2,11.957,2,2019-10-19,2018-06-30,-476
1129941,1/13/2019,9/27/2020,13,56.188,7,2019-01-13,2020-09-27,623
1130441,10/7/2017,11/15/2019,2,5.881,1,2017-10-07,2019-11-15,769
1131241,1/23/2018,7/3/2018,23,68.507,8,2018-01-23,2018-07-03,161
1131321,3/2/2018,3/30/2018,2,16.84,2,2018-03-02,2018-03-30,28
1131351,8/1/2018,8/1/2018,1,5.757,1,2018-08-01,2018-08-01,0
1131611,1/13/2019,9/21/2018,16,66.57000000000001,6,2019-01-13,2018-09-21,-114
1133561,1/11/2019,9/9/2019,4,30.877,3,2019-01-11,2019-09-09,241
1133681,10/18/2018,10/18/2018,1,10.867,1,2018-10-18,2018-10-18,0
1133871,2/3/2018,2/3/2018,2,4.033,2,2018-02-03,2018-02-03,0
1134141,4/10/2018,4/10/2018,1,1.88,1,2018-04-10,2018-04-10,0
1134341,7/25/2018,7/25/2018,1,5.585,1,2018-07-25,2018-07-25,0
1134631,11/8/2017,11/8/2017,1,15.602,1,2017-11-08,2017-11-08,0
1135341,1/10/2018,9/8/2018,68,293.136,3,2018-01-10,2018-09-08,241
1135651,5/15/2019,5/15/2019,1,6.941,1,2019-05-15,2019-05-15,0
1135901,2/22/2020,2/22/2020,1,5.336,1,2020-02-22,2020-02-22,0
1135931,10/10/2017,4/13/2018,17,171.358,3,2017-10-10,2018-04-13,185
1136281,10/27/2018,4/19/2019,2,21.973,2,2018-10-27,2019-04-19,174
113683,1/20/2017,1/20/2017,1,6.6,1,2017-01-20,2017-01-20,0
1137141,10/15/2017,12/17/2017,8,159.40200000000002,2,2017-10-15,2017-12-17,63
113723,10/30/2016,9/9/2016,14,145.49001,7,2016-10-30,2016-09-09,-51
1139011,10/17/2017,11/7/2017,3,11.13,2,2017-10-17,2017-11-07,21
1139351,1/11/2020,9/3/2019,67,2102.003,5,2020-01-11,2019-09-03,-130
1139431,1/12/2020,9/13/2020,22,89.05199999999999,7,2020-01-12,2020-09-13,245
1141181,10/29/2017,2/9/2019,5,27.876,4,2017-10-29,2019-02-09,468
1141411,3/4/2018,6/6/2019,3,22.565,2,2018-03-04,2019-06-06,459
114363,1/10/2020,9/29/2016,90,401.508427,5,2020-01-10,2016-09-29,-1198
1144051,10/11/2017,5/14/2019,5,13.768,2,2017-10-11,2019-05-14,580
1145491,12/20/2017,12/20/2017,1,12.12,1,2017-12-20,2017-12-20,0
1145521,10/27/2020,9/17/2020,3,25.891,2,2020-10-27,2020-09-17,-40
1145531,2/13/2018,6/12/2018,2,25.294,1,2018-02-13,2018-06-12,119
1145761,1/6/2018,3/20/2018,2,11.844000000000001,2,2018-01-06,2018-03-20,73
